f, Y1, Y2, Y3, Y4
65.4,0.003012811,0.00303715,0.003047047,0.003700301
65.6,0.003180686,0.00283158,0.003207696,0.003395769
65.8,0.003366009,0.002642851,0.003403848,0.00308501
66.0,0.003561761,0.00247488,0.003631255,0.002778898
66.2,0.00376297,0.00233022,0.00388184,0.002491447
66.4,0.003966279,0.002210091,0.004143261,0.002237993
66.6,0.004169102,0.002114506,0.004399535,0.002032651
66.8,0.004368963,0.002042469,0.0046328,0.001885384
67.0,0.004563275,0.001992235,0.004825904,0.001799503
67.2,0.004749492,0.001961571,0.00496511,0.001771071
67.4,0.004925366,0.001947994,0.005042114,0.001790979
67.6,0.005089082,0.001948937,0.005054808,0.001848435
67.8,0.0052392,0.001961863,0.005006701,0.001933673
68.0,0.005374492,0.001984303,0.004905391,0.002038979
68.2,0.005493839,0.002013862,0.004760647,0.002158593
68.4,0.005596315,0.002048203,0.004582591,0.002288293
68.6,0.005681446,0.002085043,0.004380269,0.00242505
68.8,0.005749525,0.002122195,0.004160789,0.002566756
69.0,0.005801799,0.002157677,0.003929046,0.002711911
69.2,0.005840382,0.002189886,0.003688006,0.002859243
69.4,0.005867914,0.002217796,0.003439358,0.003007316
69.6,0.00588705,0.002241108,0.003184305,0.003154213
69.8,0.005899951,0.002260242,0.002924224,0.003297404
70.0,0.005907889,0.002276114,0.002661039,0.003433839
70.2,0.005911033,0.002289716,0.002397251,0.003560289
70.4,0.005908421,0.00230162,0.002135757,0.00367385
70.6,0.005898117,0.002311567,0.001879627,0.003772474
70.8,0.005877514,0.002318275,0.001631985,0.003855284
71.0,0.005843746,0.002319551,0.001395996,0.003922517
71.2,0.005794125,0.002312679,0.001174843,0.003975065
71.4,0.005726487,0.002294996,0.0009715689,0.004013829
71.6,0.005639366,0.00226451,0.0007887819,0.004039213
71.8,0.005531974,0.002220387,0.0006283884,0.004051045
72.0,0.005404112,0.002163166,0.000491711,0.004048947
72.2,0.005256167,0.002094657,0.0003804783,0.004032946
72.4,0.005089305,0.002017581,0.0002991133,0.004003986
72.6,0.004905784,0.001935104,0.0002567109,0.003964104
72.8,0.004709191,0.001850413,0.0002606036,0.003916236
73.0,0.004504415,0.001766411,0.0003032917,0.003863773
73.2,0.004297301,0.001685555,0.0003685186,0.003810082
73.4,0.00409408,0.001609783,0.0004440469,0.003758125
73.6,0.003900764,0.001540489,0.0005229595,0.003710227
73.8,0.003722643,0.00147851,0.0006014552,0.003667949
74.0,0.003563933,0.00142412,0.0006775205,0.003632011
74.2,0.003427562,0.001377086,0.0007503258,0.003602257
74.4,0.003315054,0.001336809,0.0008198766,0.003577672
74.6,0.003226466,0.001302548,0.0008867189,0.003556503
74.8,0.003160396,0.00127369,0.0009516573,0.003536495
75.0,0.003114066,0.001249994,0.001015505,0.003515203
75.2,0.003083502,0.001231751,0.001078898,0.003490289
75.4,0.003063867,0.001219843,0.001142189,0.003459738
75.6,0.003049907,0.001215703,0.001205433,0.003421951
75.8,0.003036513,0.001221141,0.001268432,0.003375744
76.0,0.003019303,0.001238013,0.001330857,0.003320286
76.2,0.002995124,0.001267737,0.001392389,0.003255024
76.4,0.002962366,0.001310756,0.001452873,0.003179641
76.6,0.002921012,0.001366188,0.001512412,0.00309406
76.8,0.00287246,0.001431861,0.001571393,0.002998516
77.0,0.002819162,0.001504753,0.001630396,0.002893677
77.2,0.002764217,0.00158168,0.001690015,0.002780784
77.4,0.002710981,0.001659962,0.001750653,0.002661744
77.6,0.002662752,0.001737884,0.001812344,0.002539121
77.8,0.00262252,0.001814879,0.001874673,0.002415986
